ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation
Mono-41_feather-1,1280,Mono,41_feather,qasa,qasa,,,Miller1984,41_feather-1,false,,,
Mono-42_hair-1,1312,Mono,42_hair,woö,woö,,,Miller1984,42_hair-1,false,,,"=""head/hair"""
Mono-43_head-1,1344,Mono,43_head,woö,woö,,,Miller1984,43_head-1,false,,,(=#42)
Mono-44_ear-1,1376,Mono,44_ear,naqqa,naqqa,,,Miller1984,44_ear-1,false,,,
Mono-45_eye-1,1408,Mono,45_eye,pusi,pusi,,,Miller1984,45_eye-1,false,,,
Mono-46_nose-1,1440,Mono,46_nose,"mupi""","mupi""",,,Miller1984,46_nose-1,false,,,
Mono-47_mouth-1,1472,Mono,47_mouth,tɨppe,tɨppe,,,Miller1984,47_mouth-1,false,,,
Mono-48_tooth-1,1503,Mono,48_tooth,tawa,tawa,,,Miller1984,48_tooth-1,false,,,
Mono-49_tongue-1,1535,Mono,49_tongue,eqo,eqo,,,Miller1984,49_tongue-1,false,,,
Mono-50_clawnail-1,1567,Mono,50_clawnail,-situ,-situ,,,Miller1984,50_clawnail-1,false,,,
Mono-51_foot-1,1599,Mono,51_foot,kɨkkɨ,kɨkkɨ,,,Miller1984,51_foot-1,false,,,
Mono-52_knee-1,1631,Mono,52_knee,ton-nopoto,ton-nopoto,,,Miller1984,52_knee-1,false,,,
Mono-53_hand-1,1663,Mono,53_hand,maya,maya,,,Miller1984,53_hand-1,false,,,
Mono-54_arm-1,1695,Mono,54_arm,pɨtta,pɨtta,,,Miller1984,54_arm-1,false,,,
Mono-55_rope-1,3442,Mono,55_rope,tɨqappo,tɨqappo,,,Miller1984,55_rope-1,false,,,
Mono-56_belly-1,1746,Mono,56_belly,gohi,gohi,,,Miller1984,56_belly-1,false,,,
Mono-57_navelbellybutton-1,1778,Mono,57_navelbellybutton,poci,poci,,,Miller1984,57_navelbellybutton-1,false,,,
Mono-58_neck-1,1810,Mono,58_neck,kutta,kutta,,,Miller1984,58_neck-1,false,,,
Mono-59_breast-1,1842,Mono,59_breast,piciʔ,piciʔ,,,Miller1984,59_breast-1,false,,,
Mono-60_heart-1,1874,Mono,60_heart,piwɨ,piwɨ,,,Miller1984,60_heart-1,false,,,
Mono-61_liver-1,1906,Mono,61_liver,nɨmiɨ,nɨmiɨ,,,Miller1984,61_liver-1,false,,,"(Liljeblad, Ft. Independence dialect)"
Mono-62_drink-1,1938,Mono,62_drink,hipi,hipi,,,Miller1984,62_drink-1,false,,,
Mono-63_eat-1,1970,Mono,63_eat,tɨkka,tɨkka,,,Miller1984,63_eat-1,false,,,
Mono-64_bite-1,2002,Mono,64_bite,kɨh-yɨ,kɨh-yɨ,,,Miller1984,64_bite-1,false,,,
Mono-65_vomit-1,2034,Mono,65_vomit,ooʔi,ooʔi,,,Miller1984,65_vomit-1,false,,,
Mono-66_see-1,2066,Mono,66_see,puni,puni,,,Miller1984,66_see-1,false,,,
Mono-67_hear-1,2098,Mono,67_hear,naqqa,naqqa,,,Miller1984,67_hear-1,false,,,
Mono-68_know-1,2130,Mono,68_know,suttapɨhi,suttapɨhi,,,Miller1984,68_know-5,false,,,
