Grapheme	IPA
í̧	í̧/ĩ
í̵	í̵/ɨ
í̵$	í̵/ɨ
í̵a	í̵/ɨ a
í̵í	í̵í/ɨi
í̵í̵	í̵í̵/ɨː
í̵ɨ	í̵ɨ/ɨː
í̵ɨya	í̵ɨ/ɨː y/j a
í̵ɨyo	í̵ɨ/ɨː y/j o
í̵i$	í̵i/ɨi
íu	íu/iu
íy	íy/iː
íya	í/i y/j a
íya$	í/i y/j a
íye	í/i y/j e
íyu	í/i y/j u
íyᴀ$	í/i y/j ᴀ/a
ü	ü/y
ü$	ü/y
üs	ü/y s
ù	ù/u
ò	ò/o
ò$	ò/o
òò	òò/oː
òò$	òò/oː
òh$	òh/o
ó	ó/o
ó$	ó/o
óó$	óó/oː
óh	óh/oː
ų́ų́	ũː
ó̧	ó̧/õ
ós	ó/o s
ów	ó/o w
ów$	ów/ou
a:	aː
ö	ö/ø
ö$	ö/ø
öö	öö/øː
öh	ö/ø h
öw	ö/ø w
é	é/e
ũ	ũ
é$	é/e
ũ$	ũ
éé$	éé/eː
éh	é/e h
éh$	éh/e
és	é/e s
éss$	é/e sː
éw	é/e w
î	î/i
îs	î/i s
aa	aː
aá	áː/aː
aa$	aː
aí	aí/ai
aí$	aí/ai
aai	aːi
aai$	aːi
aau$	aːu
aay	aːy/aːi
aay$	aːi
aayi	aa/aː y/j i
aayo	aa/aː y/j o
aú	aú/au
aú$	aú/au
ae	a e
aɨ	aɨ
aɨ$	aɨ
aɨ̈$	aɨ̈/aɨ
aɨye$	aɨ y/j e
ai	ai
ai$	ai
a̧a̧	a̧a̧/ãː
a̧a̧$	a̧a̧/ã
a̧a̧yo$	a̧a̧/ãː y/j o
aii	aiː
aiya$	ai y/j a
au	au
au$	au
aua	a u/w a
aue$	a u/w e
ay	ay/ai
ay$	ay/ai
aya	a y/j a
ayá	a y/j á/a
ayá$	a y/j á/a
ayū	a y/j ū/uː
aya$	a y/j a
ayí	a y/j í
ayæ̧æ̧$	a y/j æ̧æ̧/æ̃ː
ayɨ	a y/j ɨ
ayi	a y/j i
ayi$	a y/j i
ayo	a y/j o
ayo$	a y/j o
ayoo	a y/j oo/oː
ayu	a y/j u
ayu$	a y/j u
ayuu	a y/j uu/uː
ayyee$	a yy/j ee
è	è/e
è$	è/e
ę̀ę̀	ę̀ę̀/ẽː
į	ĩ
ï	ï/ɨ
ï$	ï/ɨ
įį$	ĩː
į́$	ĩ
į́į́	iː
į́į́$	ĩː
į̂į̂$	iː
ïs	ï/ɨ s
ïw	ï/ɨ w
ïw$	ïw/iu
ô	ô/o
ô$	ô/o
ôh	ô/o h
ì	ì/i
æ	æ
æ̧	æ̧/æ̃
æ̧$	æ̧/æ̃
æ̧æ̧$	æ̧æ̧/æ̃ː
æ̧yu̧u̧$	æ̧/æ̃ y/j u̧u̧/ũː
·	+
