ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
3770	utoaztecan-Kitanemuk-38_egg-1	utoaztecan-Kitanemuk	EGG	egg	pano	pano	p a n o	utoaztecan-38_egg-2	152	1 7 4 7	AXBZ	PANU	17	17.P.C 17.A.V 17.N.C 17.U.V	2.0 1.5 1.75 0.8	pano	0	1082
3909	utoaztecan-Kiowa-38_egg-1	utoaztecan-Kiowa	EGG	egg	t'ą́y	t'ą́y	tˀ ã y	utoaztecan-38_egg-12	1272	1 7 7	AXZ	TAY	16	16.T.C 16.A.V 16.Y.V	2.0 1.5 0.8	tˀãy	0	1081
4022	utoaztecan-SanJuanPuebloTewa-38_egg-1	utoaztecan-SanJuanPuebloTewa	EGG	egg	wáa	wáa	w aː	utoaztecan-38_egg-11	1347	6 7	AX	WA	28	28.W.C 28.A.V	2.0 1.5	waː	0	1092
4143	utoaztecan-ShoshoniGosiute-38_egg-1	utoaztecan-ShoshoniGosiute	EGG	egg	noyo	noyo	n o j o	utoaztecan-38_egg-1	38	4 7 6 7	AXBZ	NUJU	30	30.N.C 30.U.V 30.J.C 30.U.V	2.0 1.5 1.75 0.8	nojo	0	1071
4288	utoaztecan-Comecrudo-38_egg-1	utoaztecan-Comecrudo	EGG	egg	yaú	yaú	j au		1448	6 7	AX	JA	7	7.J.C 7.A.V	2.0 1.5	jau	0	1072
4427	utoaztecan-Comanche-38_egg-1	utoaztecan-Comanche	EGG	egg	noyo	noyo	n o j o	utoaztecan-38_egg-1	38	4 7 6 7	AXBZ	NUJU	6	6.N.C 6.U.V 6.J.C 6.U.V	2.0 1.5 1.75 0.8	nojo	0	1071
4556	utoaztecan-Zuni-38_egg-1	utoaztecan-Zuni	EGG	egg	toko:ko moʔle	toko:ko moʔle	t o k oː k o + m o ˀl e		1600	1 7 1 7 1 7 9 4 7 5 7	AXBYBZ_AXBZ	TUKUKU_MULE	38	38.T.C 38.U.V 38.K.C 38.U.V 38.K.C 38.U.V 38._._ 38.M.C 38.U.V 38.L.C 38.E.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.75 0.8	tokoːko+moˀle	0	1102
4686	utoaztecan-Kawaiisu-38_egg-1	utoaztecan-Kawaiisu	EGG	egg	nopa-vi	nopa-vi	n o p a + v i	utoaztecan-38_egg-1	38	4 7 1 7 9 3 7	AXBZ_AX	NUPA_BI	15	15.N.C 15.U.V 15.P.C 15.A.V 15._._ 15.B.C 15.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	nopa+vi	0	1069
4830	utoaztecan-Chemehuevi-38_egg-1	utoaztecan-Chemehuevi	EGG	egg	noppa-pi	noppa-pi	n o pː a + p i	utoaztecan-38_egg-1	38	4 7 1 7 9 1 7	AXBZ_AX	NUPA_PI	4	4.N.C 4.U.V 4.P.C 4.A.V 4._._ 4.P.C 4.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	nopːa+pi	0	1069
4970	utoaztecan-SouthernPaiute-38_egg-1	utoaztecan-SouthernPaiute	EGG	egg	nooʔ	nooʔ	n oː ʔ	utoaztecan-38_egg-1	38	4 7 1	AXN	NUH	32	32.N.C 32.U.V 32.H.c	2.0 1.5 0.8	noːʔ	0	1089
4971	utoaztecan-SouthernPaiute-38_egg-2	utoaztecan-SouthernPaiute	EGG	egg	nuppu	nuppu	n u pː u	utoaztecan-38_egg-1	38	4 7 1 7	AXBZ	NYPY	32	32.N.C 32.Y.V 32.P.C 32.Y.V	2.0 1.5 1.75 0.8	nupːu	0	1104
5098	utoaztecan-SouthernUte-38_egg-1	utoaztecan-SouthernUte	EGG	egg	nappáa-pi	nappáa-pi	n a pː a a + p i	utoaztecan-38_egg-1	38	4 7 1 7 7 9 1 7	AXBYZ_AX	NAPAA_PI	33	33.N.C 33.A.V 33.P.C 33.A.V 33.A.V 33._._ 33.P.C 33.I.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5	napːaa+pi	0	1069
45	utoaztecan-Mono-45_eye-1	utoaztecan-Mono	EYE	eye	pusi	pusi	p u s i	utoaztecan-45_eye-1	45	1 7 3 7	AXBZ	PYSI	20	20.P.C 20.Y.V 20.S.C 20.I.V	2.0 1.5 1.75 0.8	pusi	1	1114
180	utoaztecan-Tubatulabel-45_eye-1	utoaztecan-Tubatulabel	EYE	eye	punʒi-l	punʒi-l	p u n ʒ i + l	utoaztecan-45_eye-1	45	1 7 4 3 7 9 5	AXMBZ_A	PYNSI_L	36	36.P.C 36.Y.V 36.N.c 36.S.C 36.I.V 36._._ 36.L.C	2.0 1.5 1.1 1.75 0.8 0.0 2.0	punʒi+l	1	1140
336	utoaztecan-Serrano-45_eye-1	utoaztecan-Serrano	EYE	eye	huvaa-c̣	huvaa-c̣	h u v aː + ʈʂ	utoaztecan-45_eye-2	246	3 7 3 7 9 2	AXBZ_A	HYBA_C	29	29.H.C 29.Y.V 29.B.C 29.A.V 29._._ 29.C.C	2.0 1.5 1.75 0.8 0.0 2.0	huvaː+ʈʂ	0	1121
466	utoaztecan-Cahuilla-45_eye-1	utoaztecan-Cahuilla	EYE	eye	púč-ily	púč-ily	p u tʃ + i l y	utoaztecan-45_eye-1	45	1 7 1 9 7 5 7	AXN_XBZ	PYT_ILY	3	3.P.C 3.Y.V 3.T.c 3._._ 3.I.V 3.L.C 3.Y.V	2.0 1.5 0.8 0.0 1.5 1.75 0.8	putʃ+ily	1	1107
594	utoaztecan-Cupeno-45_eye-1	utoaztecan-Cupeno	EYE	eye	-puš	-puš	p u ʃ	utoaztecan-45_eye-1	45	1 7 3	AXN	PYS	9	9.P.C 9.Y.V 9.S.c	2.0 1.5 0.8	puʃ	1	1113
718	utoaztecan-Luiseno-45_eye-1	utoaztecan-Luiseno	EYE	eye	púš-la	púš-la	p u ʃ + l a	utoaztecan-45_eye-1	45	1 7 3 9 5 7	AXN_AX	PYS_LA	18	18.P.C 18.Y.V 18.S.c 18._._ 18.L.C 18.A.V	2.0 1.5 0.8 0.0 2.0 1.5	puʃ+la	1	1113
847	utoaztecan-Gabrielino-45_eye-1	utoaztecan-Gabrielino	EYE	eye	-tsòtron	-tsòtron	ts o t r o n	utoaztecan-45_eye-3	455	2 7 1 5 7 4	AXBCYN	CUTRUN	11	11.C.C 11.U.V 11.T.C 11.R.C 11.U.V 11.N.c	2.0 1.5 1.75 1.5 1.3 0.8	tsotron	0	1115
848	utoaztecan-Gabrielino-45_eye-2	utoaztecan-Gabrielino	EYE	eye	-co:con	-co:con	ts oː ts o n	utoaztecan-45_eye-3	455	2 7 2 7 4	AXBYN	CUCUN	11	11.C.C 11.U.V 11.C.C 11.U.V 11.N.c	2.0 1.5 1.75 1.3 0.8	tsoːtson	0	1115
976	utoaztecan-Hopi-45_eye-1	utoaztecan-Hopi	EYE	eye	póosi	póosi	p o o s i	utoaztecan-45_eye-1	45	1 7 7 3 7	AXYBZ	PUUSI	13	13.P.C 13.U.V 13.U.V 13.S.C 13.I.V	2.0 1.5 1.3 1.75 0.8	poosi	1	1114
1105	utoaztecan-Papago-45_eye-1	utoaztecan-Papago	EYE	eye	wuhi	wuhi	w u h i	utoaztecan-45_eye-1	45	6 7 3 7	AXBZ	WYHI	25	25.W.C 25.Y.V 25.H.C 25.I.V	2.0 1.5 1.75 0.8	wuhi	0	1114
1242	utoaztecan-PimaDeOnavas-45_eye-1	utoaztecan-PimaDeOnavas	EYE	eye	vuhi	vuhi	v u h i	utoaztecan-45_eye-1	45	3 7 3 7	AXBZ	BYHI	26	26.B.C 26.Y.V 26.H.C 26.I.V	2.0 1.5 1.75 0.8	vuhi	0	1114
1393	utoaztecan-NorthernTepehuan-45_eye-1	utoaztecan-NorthernTepehuan	EYE	eye	buy	buy	b ui	utoaztecan-45_eye-1	45	1 7	AX	PY	22	22.P.C 22.Y.V	2.0 1.5	bui	0	1110
1543	utoaztecan-NorthernPaiute-45_eye-1	utoaztecan-NorthernPaiute	EYE	eye	pui	pui	p ui	utoaztecan-45_eye-1	45	1 7	AX	PY	21	21.P.C 21.Y.V	2.0 1.5	pui	1	1110
1696	utoaztecan-Opata-45_eye-1	utoaztecan-Opata	EYE	eye	busi	busi	b u s i	utoaztecan-45_eye-1	45	1 7 3 7	AXBZ	PYSI	23	23.P.C 23.Y.V 23.S.C 23.I.V	2.0 1.5 1.75 0.8	busi	0	1114
1697	utoaztecan-Opata-45_eye-2	utoaztecan-Opata	EYE	eye	vubu	vubu	v u b u		728	3 7 1 7	AXBZ	BYPY	23	23.B.C 23.Y.V 23.P.C 23.Y.V	2.0 1.5 1.75 0.8	vubu	0	1145
1842	utoaztecan-Eudeve-45_eye-1	utoaztecan-Eudeve	EYE	eye	vusít	vusít	v u s i t	utoaztecan-45_eye-1	45	3 7 3 7 1	AXBYN	BYSIT	10	10.B.C 10.Y.V 10.S.C 10.I.V 10.T.c	2.0 1.5 1.75 1.3 0.8	vusit	0	1114
1982	utoaztecan-Guarijio-45_eye-1	utoaztecan-Guarijio	EYE	eye	pusí	pusí	p u s i	utoaztecan-45_eye-1	45	1 7 3 7	AXBZ	PYSI	12	12.P.C 12.Y.V 12.S.C 12.I.V	2.0 1.5 1.75 0.8	pusi	0	1114
2108	utoaztecan-Tarahumara-45_eye-1	utoaztecan-Tarahumara	EYE	eye	busí-la	busí-la	b u s i + l a	utoaztecan-45_eye-1	45	1 7 3 7 9 5 7	AXBZ_AX	PYSI_LA	34	34.P.C 34.Y.V 34.S.C 34.I.V 34._._ 34.L.C 34.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	busi+la	0	1114
2252	utoaztecan-Tubar-45_eye-1	utoaztecan-Tubar	EYE	eye	telá-r	telá-r	t e l a + r	utoaztecan-45_eye-4	881	1 7 5 7 9 5	AXBZ_A	TELA_R	35	35.T.C 35.E.V 35.L.C 35.A.V 35._._ 35.R.C	2.0 1.5 1.75 0.8 0.0 2.0	tela+r	0	1139
2253	utoaztecan-Tubar-45_eye-2	utoaztecan-Tubar	EYE	eye	tilú-r	tilú-r	t i l u + r	utoaztecan-45_eye-4	881	1 7 5 7 9 5	AXBZ_A	TILY_R	35	35.T.C 35.I.V 35.L.C 35.Y.V 35._._ 35.R.C	2.0 1.5 1.75 0.8 0.0 2.0	tilu+r	0	1139
2404	utoaztecan-Mayo-45_eye-1	utoaztecan-Mayo	EYE	eye	puúsim	puúsim	p uː s i m	utoaztecan-45_eye-1	45	1 7 3 7 4	AXBYN	PYSIM	19	19.P.C 19.Y.V 19.S.C 19.I.V 19.M.c	2.0 1.5 1.75 1.3 0.8	puːsim	0	1114
2538	utoaztecan-Yaqui-45_eye-1	utoaztecan-Yaqui	EYE	eye	púusi	púusi	p uː s i	utoaztecan-45_eye-1	45	1 7 3 7	AXBZ	PYSI	37	37.P.C 37.Y.V 37.S.C 37.I.V	2.0 1.5 1.75 0.8	puːsi	0	1114
2679	utoaztecan-Cora-45_eye-1	utoaztecan-Cora	EYE	eye	hí̵ʔɨ	hí̵ʔɨ	h ɨ ʔ ɨ	utoaztecan-45_eye-1	45	3 7 1 7	AXBZ	HIHI	8	8.H.C 8.I.V 8.H.C 8.I.V	2.0 1.5 1.75 0.8	hɨʔɨ	0	1112
2680	utoaztecan-Cora-45_eye-2	utoaztecan-Cora	EYE	eye	hí̵ʔɨsi	hí̵ʔɨsi	h ɨ ʔ ɨ s i	utoaztecan-45_eye-1	45	3 7 1 7 3 7	AXBYBZ	HIHISI	8	8.H.C 8.I.V 8.H.C 8.I.V 8.S.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hɨʔɨsi	0	1112
2812	utoaztecan-Huichol-45_eye-1	utoaztecan-Huichol	EYE	eye	hɨzi	hɨzi	h ɨ z i	utoaztecan-45_eye-1	45	3 7 3 7	AXBZ	HISI	14	14.H.C 14.I.V 14.S.C 14.I.V	2.0 1.5 1.75 0.8	hɨzi	0	1114
2971	utoaztecan-ClassicalAztec-45_eye-1	utoaztecan-ClassicalAztec	EYE	eye	iiš-telolo-tl	iiš-telolo-tl	iː ʃ + t e l o l o + t l	utoaztecan-45_eye-1	45	7 3 9 1 7 5 7 5 7 9 1 5	XN_AXBYBZ_AC	IS_TELULU_TL	5	5.I.V 5.S.c 5._._ 5.T.C 5.E.V 5.L.C 5.U.V 5.L.C 5.U.V 5._._ 5.T.C 5.L.C	1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5	iːʃ+telolo+tl	0	1109
3106	utoaztecan-Pannamint-45_eye-1	utoaztecan-Pannamint	EYE	eye	puih	puih	p ui h	utoaztecan-45_eye-1	45	1 7 3	AXN	PYH	24	24.P.C 24.Y.V 24.H.c	2.0 1.5 0.8	puih	0	1110
3243	utoaztecan-AztecTetelcingo-45_eye-1	utoaztecan-AztecTetelcingo	EYE	eye	-štelolo	-štelolo	ʃ t e l o l o	utoaztecan-45_eye-1	45	3 1 7 5 7 5 7	ACYBYBZ	STELULU	1	1.S.C 1.T.C 1.E.V 1.L.C 1.U.V 1.L.C 1.U.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	ʃtelolo	0	1105
3383	utoaztecan-AztecZacapoaxtla-45_eye-1	utoaztecan-AztecZacapoaxtla	EYE	eye	-iištooloolo	-iištooloolo	iː ʃ t oː l oː l o	utoaztecan-45_eye-1	45	7 3 1 7 5 7 5 7	XMBYBYBZ	ISTULULU	2	2.I.V 2.S.c 2.T.C 2.U.V 2.L.C 2.U.V 2.L.C 2.U.V	1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	iːʃtoːloːlo	0	1105
3514	utoaztecan-Pipil-45_eye-1	utoaztecan-Pipil	EYE	eye	iš	iš	i ʃ	utoaztecan-45_eye-1	45	7 3	XN	IS	27	27.I.V 27.S.c	1.5 0.8	iʃ	0	1131
3652	utoaztecan-SoutheasternTepehuan-45_eye-1	utoaztecan-SoutheasternTepehuan	EYE	eye	bui	bui	b ui	utoaztecan-45_eye-1	45	1 7	AX	PY	31	31.P.C 31.Y.V	2.0 1.5	bui	0	1110
3780	utoaztecan-Kitanemuk-45_eye-1	utoaztecan-Kitanemuk	EYE	eye	uva7	uva7	u v a ʔ	utoaztecan-45_eye-2	246	7 3 7 1	XBYN	YBAH	17	17.Y.V 17.B.C 17.A.V 17.H.c	1.5 1.75 1.3 0.8	uvaʔ	0	1121
3916	utoaztecan-Kiowa-45_eye-1	utoaztecan-Kiowa	EYE	eye	táá-	táá-	t aː	utoaztecan-45_eye-5	1279	1 7	AX	TA	16	16.T.C 16.A.V	2.0 1.5	taː	0	1120
4029	utoaztecan-SanJuanPuebloTewa-45_eye-1	utoaztecan-SanJuanPuebloTewa	EYE	eye	tsée	tsée	ts e e	utoaztecan-45_eye-5	1279	2 7 7	AXZ	CEE	28	28.C.C 28.E.V 28.E.V	2.0 1.5 0.8	tsee	0	1132
4150	utoaztecan-ShoshoniGosiute-45_eye-1	utoaztecan-ShoshoniGosiute	EYE	eye	puih	puih	p ui h	utoaztecan-45_eye-1	45	1 7 3	AXN	PYH	30	30.P.C 30.Y.V 30.H.c	2.0 1.5 0.8	puih	0	1110
4297	utoaztecan-Comecrudo-45_eye-1	utoaztecan-Comecrudo	EYE	eye	u-i	u-i	u + i		1457	7 9 7	X_X	Y_I	7	7.Y.V 7._._ 7.I.V	1.5 0.0 1.5	u+i	0	1111
4434	utoaztecan-Comanche-45_eye-1	utoaztecan-Comanche	EYE	eye	pui	pui	p ui	utoaztecan-45_eye-1	45	1 7	AX	PY	6	6.P.C 6.Y.V	2.0 1.5	pui	0	1110
4565	utoaztecan-Zuni-45_eye-1	utoaztecan-Zuni	EYE	eye	tuna	tuna	t u n a		1609	1 7 4 7	AXBZ	TYNA	38	38.T.C 38.Y.V 38.N.C 38.A.V	2.0 1.5 1.75 0.8	tuna	0	1142
4694	utoaztecan-Kawaiisu-45_eye-1	utoaztecan-Kawaiisu	EYE	eye	puʔi-vi	puʔi-vi	p u ʔ i + v i	utoaztecan-45_eye-1	45	1 7 1 7 9 3 7	AXBZ_AX	PYHI_BI	15	15.P.C 15.Y.V 15.H.C 15.I.V 15._._ 15.B.C 15.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	puʔi+vi	1	1108
4837	utoaztecan-Chemehuevi-45_eye-1	utoaztecan-Chemehuevi	EYE	eye	puʔi-pi	puʔi-pi	p u ʔ i + p i	utoaztecan-45_eye-1	45	1 7 1 7 9 1 7	AXBZ_AX	PYHI_PI	4	4.P.C 4.Y.V 4.H.C 4.I.V 4._._ 4.P.C 4.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	puʔi+pi	1	1108
4978	utoaztecan-SouthernPaiute-45_eye-1	utoaztecan-SouthernPaiute	EYE	eye	puʔi	puʔi	p u ʔ i	utoaztecan-45_eye-1	45	1 7 1 7	AXBZ	PYHI	32	32.P.C 32.Y.V 32.H.C 32.I.V	2.0 1.5 1.75 0.8	puʔi	0	1114
5105	utoaztecan-SouthernUte-45_eye-1	utoaztecan-SouthernUte	EYE	eye	pɨʔí-pɨ	pɨʔí-pɨ	p ɨ ʔ i + p ɨ	utoaztecan-45_eye-1	45	1 7 1 7 9 1 7	AXBZ_AX	PIHI_PI	33	33.P.C 33.I.V 33.H.C 33.I.V 33._._ 33.P.C 33.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	pɨʔi+pɨ	0	1108
37	utoaztecan-Mono-37_greasefat-1	utoaztecan-Mono	FAT (ORGANIC SUBSTANCE)	grease, fat	yuhu	yuhu	j u h u	utoaztecan-37_greasefat-1	37	6 7 3 7	AXBZ	JYHY	20	20.J.C 20.Y.V 20.H.C 20.Y.V	2.0 1.5 1.75 0.8	juhu	0	1151
172	utoaztecan-Tubatulabel-37_greasefat-1	utoaztecan-Tubatulabel	FAT (ORGANIC SUBSTANCE)	grease, fat	wip-t	wip-t	w i p + t	utoaztecan-37_greasefat-2	151	6 7 1 9 1	AXN_A	WIP_T	36	36.W.C 36.I.V 36.P.c 36._._ 36.T.C	2.0 1.5 0.8 0.0 2.0	wip+t	0	1180
328	utoaztecan-Serrano-37_greasefat-1	utoaztecan-Serrano	FAT (ORGANIC SUBSTANCE)	grease, fat	wip-t	wip-t	w i p + t	utoaztecan-37_greasefat-2	151	6 7 1 9 1	AXN_A	WIP_T	29	29.W.C 29.I.V 29.P.c 29._._ 29.T.C	2.0 1.5 0.8 0.0 2.0	wip+t	0	1162
458	utoaztecan-Cahuilla-37_greasefat-1	utoaztecan-Cahuilla	FAT (ORGANIC SUBSTANCE)	grease, fat	wí-ly	wí-ly	w i + l y	utoaztecan-37_greasefat-2	151	6 7 9 5 7	AX_AX	WI_LY	3	3.W.C 3.I.V 3._._ 3.L.C 3.Y.V	2.0 1.5 0.0 2.0 1.5	wi+ly	0	1148
585	utoaztecan-Cupeno-37_greasefat-1	utoaztecan-Cupeno	FAT (ORGANIC SUBSTANCE)	grease, fat	wí-ly	wí-ly	w i + l y	utoaztecan-37_greasefat-2	151	6 7 9 5 7	AX_AX	WI_LY	9	9.W.C 9.I.V 9._._ 9.L.C 9.Y.V	2.0 1.5 0.0 2.0 1.5	wi+ly	0	1148
710	utoaztecan-Luiseno-37_greasefat-1	utoaztecan-Luiseno	FAT (ORGANIC SUBSTANCE)	grease, fat	-wíʔ	-wíʔ	w i ʔ	utoaztecan-37_greasefat-2	151	6 7 1	AXN	WIH	18	18.W.C 18.I.V 18.H.c	2.0 1.5 0.8	wiʔ	0	1157
839	utoaztecan-Gabrielino-37_greasefat-1	utoaztecan-Gabrielino	FAT (ORGANIC SUBSTANCE)	grease, fat	witā	witā	w i t aː	utoaztecan-37_greasefat-2	151	6 7 1 7	AXBZ	WITA	11	11.W.C 11.I.V 11.T.C 11.A.V	2.0 1.5 1.75 0.8	witaː	0	1156
968	utoaztecan-Hopi-37_greasefat-1	utoaztecan-Hopi	FAT (ORGANIC SUBSTANCE)	grease, fat	wíhɨ	wíhɨ	w i h ɨ	utoaztecan-37_greasefat-2	151	6 7 3 7	AXBZ	WIHI	13	13.W.C 13.I.V 13.H.C 13.I.V	2.0 1.5 1.75 0.8	wihɨ	0	1157
1097	utoaztecan-Papago-37_greasefat-1	utoaztecan-Papago	FAT (ORGANIC SUBSTANCE)	grease, fat	giigi	giigi	g iː g i	utoaztecan-37_greasefat-2	151	1 7 1 7	AXBZ	KIKI	25	25.K.C 25.I.V 25.K.C 25.I.V	2.0 1.5 1.75 0.8	giːgi	0	1170
1234	utoaztecan-PimaDeOnavas-37_greasefat-1	utoaztecan-PimaDeOnavas	FAT (ORGANIC SUBSTANCE)	grease, fat	gui	gui	g ui	utoaztecan-37_greasefat-2	151	1 7	AX	KY	26	26.K.C 26.Y.V	2.0 1.5	gui	0	1167
1383	utoaztecan-NorthernTepehuan-37_greasefat-1	utoaztecan-NorthernTepehuan	FAT (ORGANIC SUBSTANCE)	grease, fat	gui	gui	g ui	utoaztecan-37_greasefat-2	151	1 7	AX	KY	22	22.K.C 22.Y.V	2.0 1.5	gui	0	1167
1534	utoaztecan-NorthernPaiute-37_greasefat-1	utoaztecan-NorthernPaiute	FAT (ORGANIC SUBSTANCE)	grease, fat	yuhu	yuhu	j u h u	utoaztecan-37_greasefat-1	37	6 7 3 7	AXBZ	JYHY	21	21.J.C 21.Y.V 21.H.C 21.Y.V	2.0 1.5 1.75 0.8	juhu	0	1151
1690	utoaztecan-Opata-37_greasefat-1	utoaztecan-Opata	FAT (ORGANIC SUBSTANCE)	grease, fat	guida	guida	g ui d a	utoaztecan-37_greasefat-2	151	1 7 1 7	AXBZ	KYTA	23	23.K.C 23.Y.V 23.T.C 23.A.V	2.0 1.5 1.75 0.8	guida	0	1156
1833	utoaztecan-Eudeve-37_greasefat-1	utoaztecan-Eudeve	FAT (ORGANIC SUBSTANCE)	grease, fat	túspegua	túspegua	t u s p e g u a	utoaztecan-37_greasefat-3	784	1 7 3 1 7 1 7 7	AXMBYBYZ	TYSPEKYA	10	10.T.C 10.Y.V 10.S.c 10.P.C 10.E.V 10.K.C 10.Y.V 10.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	tuspegua	0	1155
1974	utoaztecan-Guarijio-37_greasefat-1	utoaztecan-Guarijio	FAT (ORGANIC SUBSTANCE)	grease, fat	wiʔí	wiʔí	w i ʔ i	utoaztecan-37_greasefat-2	151	6 7 1 7	AXBZ	WIHI	12	12.W.C 12.I.V 12.H.C 12.I.V	2.0 1.5 1.75 0.8	wiʔi	0	1157
2100	utoaztecan-Tarahumara-37_greasefat-1	utoaztecan-Tarahumara	FAT (ORGANIC SUBSTANCE)	grease, fat	wiʔí	wiʔí	w i ʔ i	utoaztecan-37_greasefat-2	151	6 7 1 7	AXBZ	WIHI	34	34.W.C 34.I.V 34.H.C 34.I.V	2.0 1.5 1.75 0.8	wiʔi	0	1157
2396	utoaztecan-Mayo-37_greasefat-1	utoaztecan-Mayo	FAT (ORGANIC SUBSTANCE)	grease, fat	manteeka	manteeka	m a n t eː k a		925	4 7 4 1 7 1 7	AXMBYBZ	MANTEKA	19	19.M.C 19.A.V 19.N.c 19.T.C 19.E.V 19.K.C 19.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	manteːka	0	1164
2530	utoaztecan-Yaqui-37_greasefat-1	utoaztecan-Yaqui	FAT (ORGANIC SUBSTANCE)	grease, fat	mánteeka	mánteeka	m a n t eː k a		946	4 7 4 1 7 1 7	AXMBYBZ	MANTEKA	37	37.M.C 37.A.V 37.N.c 37.T.C 37.E.V 37.K.C 37.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	manteːka	0	1164
2671	utoaztecan-Cora-37_greasefat-1	utoaztecan-Cora	FAT (ORGANIC SUBSTANCE)	grease, fat	aséiiti	aséiiti	a s e iː t i		968	7 3 7 7 1 7	XBYYBZ	ASEITI	8	8.A.V 8.S.C 8.E.V 8.I.V 8.T.C 8.I.V	1.5 1.75 1.3 1.3 1.75 0.8	aseiːti	0	1153
2802	utoaztecan-Huichol-37_greasefat-1	utoaztecan-Huichol	FAT (ORGANIC SUBSTANCE)	grease, fat	wiyá	wiyá	w i j a	utoaztecan-37_greasefat-2	151	6 7 6 7	AXBZ	WIJA	14	14.W.C 14.I.V 14.J.C 14.A.V	2.0 1.5 1.75 0.8	wija	0	1159
2961	utoaztecan-ClassicalAztec-37_greasefat-1	utoaztecan-ClassicalAztec	FAT (ORGANIC SUBSTANCE)	grease, fat	se-yo-tl	se-yo-tl	s e + j o + t l	utoaztecan-37_greasefat-5	1061	3 7 9 6 7 9 1 5	AX_AX_AC	SE_JU_TL	5	5.S.C 5.E.V 5._._ 5.J.C 5.U.V 5._._ 5.T.C 5.L.C	2.0 1.5 0.0 2.0 1.5 0.0 2.0 1.5	se+jo+tl	0	1150
3098	utoaztecan-Pannamint-37_greasefat-1	utoaztecan-Pannamint	FAT (ORGANIC SUBSTANCE)	grease, fat	yuhu	yuhu	j u h u	utoaztecan-37_greasefat-1	37	6 7 3 7	AXBZ	JYHY	24	24.J.C 24.Y.V 24.H.C 24.Y.V	2.0 1.5 1.75 0.8	juhu	0	1151
3235	utoaztecan-AztecTetelcingo-37_greasefat-1	utoaztecan-AztecTetelcingo	FAT (ORGANIC SUBSTANCE)	grease, fat	čiyöwa	čiyöwa	tʃ i j ø w a	utoaztecan-37_greasefat-6	1140	1 7 6 7 6 7	AXBYBZ	TIJUWA	1	1.T.C 1.I.V 1.J.C 1.U.V 1.W.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tʃijøwa	0	1146
3374	utoaztecan-AztecZacapoaxtla-37_greasefat-1	utoaztecan-AztecZacapoaxtla	FAT (ORGANIC SUBSTANCE)	grease, fat	čaawak	čaawak	tʃ aː w a k	utoaztecan-37_greasefat-7	1154	1 7 6 7 1	AXBYN	TAWAK	2	2.T.C 2.A.V 2.W.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 0.8	tʃaːwak	0	1146
3503	utoaztecan-Pipil-37_greasefat-1	utoaztecan-Pipil	FAT (ORGANIC SUBSTANCE)	grease, fat	šepo	šepo	ʃ e p o		1171	3 7 1 7	AXBZ	SEPU	27	27.S.C 27.E.V 27.P.C 27.U.V	2.0 1.5 1.75 0.8	ʃepo	0	1172
3644	utoaztecan-SoutheasternTepehuan-37_greasefat-1	utoaztecan-SoutheasternTepehuan	FAT (ORGANIC SUBSTANCE)	grease, fat	gio'da'	gio'da'	g i o d a ʔ	utoaztecan-37_greasefat-2	151	1 7 7 1 7 1	AXYBYN	KIUTAH	31	31.K.C 31.I.V 31.U.V 31.T.C 31.A.V 31.H.c	2.0 1.5 1.3 1.75 1.3 0.8	giodaʔ	0	1176
3769	utoaztecan-Kitanemuk-37_greasefat-1	utoaztecan-Kitanemuk	FAT (ORGANIC SUBSTANCE)	grease, fat	wipt	wipt	w i p t	utoaztecan-37_greasefat-2	151	6 7 1 1	AXLN	WIPT	17	17.W.C 17.I.V 17.P.c 17.T.c	2.0 1.5 1.1 0.8	wipt	0	1162
3908	utoaztecan-Kiowa-37_greasefat-1	utoaztecan-Kiowa	FAT (ORGANIC SUBSTANCE)	grease, fat	k'ᴐ̨ᴐ̨gya	k'ᴐ̨ᴐ̨gya	kˀ ɔ̃ː g j a	utoaztecan-37_greasefat-10	1271	1 7 1 6 7	AXBCZ	KUKJA	16	16.K.C 16.U.V 16.K.C 16.J.C 16.A.V	2.0 1.5 1.75 1.5 0.8	kˀɔ̃ːgja	0	1161
