ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
1488	utoaztecan-NorthernTepehuan-121_all-1	utoaztecan-NorthernTepehuan	ALL	all	βɯ̄̌ʃi	βɯ̄̌ʃi	β ɯ ʃ i	utoaztecan-121_all-19	611	3 7 3 7	AXBZ	BISI	22	22.B.C 22.I.V 22.S.C 22.I.V	2.0 1.5 1.75 0.8	βɯʃi	0	20
1646	utoaztecan-NorthernPaiute-121_all-1	utoaztecan-NorthernPaiute	ALL	all	nōʔju	nōʔju	n oː ˀdʒ u	utoaztecan-121_all-1	703	4 7 1 7	AXBZ	NUTY	21	21.N.C 21.U.V 21.T.C 21.Y.V	2.0 1.5 1.75 0.8	noːˀdʒu	0	19
1786	utoaztecan-Opata-121_all-1	utoaztecan-Opata	ALL	all	së	së	s ə	utoaztecan-121_all-12	768	3 7	AX	SE	23	23.S.C 23.E.V	2.0 1.5	sə	0	21
1935	utoaztecan-Eudeve-121_all-1	utoaztecan-Eudeve	ALL	all	awona	awona	a w o n a	utoaztecan-121_all-14	808	7 6 7 4 7	XBYBZ	AWUNA	10	10.A.V 10.W.C 10.U.V 10.N.C 10.A.V	1.5 1.75 1.3 1.75 0.8	awona	0	9
1936	utoaztecan-Eudeve-121_all-2	utoaztecan-Eudeve	ALL	all	haóna	haóna	h a o n a	utoaztecan-121_all-14	808	3 7 7 4 7	AXYBZ	HAUNA	10	10.H.C 10.A.V 10.U.V 10.N.C 10.A.V	2.0 1.5 1.3 1.75 0.8	haona	0	9
2061	utoaztecan-Guarijio-121_all-1	utoaztecan-Guarijio	ALL	all	yomá	yomá	j o m a	utoaztecan-121_all-17	841	6 7 4 7	AXBZ	JUMA	12	12.J.C 12.U.V 12.M.C 12.A.V	2.0 1.5 1.75 0.8	joma	0	11
2200	utoaztecan-Tarahumara-121_all-1	utoaztecan-Tarahumara	ALL	all	omɑru̱ɑme	omɑru̱ɑme	o m ɑ r w ɑ m e	utoaztecan-121_all-18	868	7 4 7 5 6 7 4 7	XBYBCYBZ	UMARWAME	34	34.U.V 34.M.C 34.A.V 34.R.C 34.W.C 34.A.V 34.M.C 34.E.V	1.5 1.75 1.3 1.75 1.5 1.3 1.75 0.8	omɑrwɑme	0	32
2354	utoaztecan-Tubar-121_all-1	utoaztecan-Tubar	ALL	all	wetˢɑ̱t	wetˢɑ̱t	w e ts ɑ̠ t	utoaztecan-121_all-19	611	6 7 2 7 1	AXBYN	WECAT	35	35.W.C 35.E.V 35.C.C 35.A.V 35.T.c	2.0 1.5 1.75 1.3 0.8	wetsɑ̠t	0	33
2355	utoaztecan-Tubar-121_all-2	utoaztecan-Tubar	ALL	all	wesɑ̱t	wesɑ̱t	w e s ɑ̠ t	utoaztecan-121_all-19	611	6 7 3 7 1	AXBYN	WESAT	35	35.W.C 35.E.V 35.S.C 35.A.V 35.T.c	2.0 1.5 1.75 1.3 0.8	wesɑ̠t	0	33
2485	utoaztecan-Mayo-121_all-1	utoaztecan-Mayo	ALL	all	tˢikti	tˢikti	ts i k t i	utoaztecan-121_all-13	942	2 7 1 1 7	AXMBZ	CIKTI	19	19.C.C 19.I.V 19.K.c 19.T.C 19.I.V	2.0 1.5 1.1 1.75 0.8	tsikti	0	17
